author_id,author_name,nationality,author_summary
2,米炎凉,中,NULL
3,祝晓羽,中,NULL
4,鬼马星,中,NULL
5,休·豪伊,美,NULL
6,高全之,中,NULL
7,托马斯·萨拉蒙,斯洛文尼亚,NULL
8,斯台芬・茨威格,中,NULL
9,朱正,中,NULL
10,九鹭非香,中,NULL
11,安徒生,丹,NULL
12,张爱玲,中,NULL
13,杜文澜,中,NULL
14,湊佳苗,日,NULL
15,桥东里,中,NULL
16,村上春树,日,NULL
17,"Scott McCloud",美,NULL
18,杨勇,中,NULL
19,埃拉·雷文,中,NULL
20,玛丽莎·梅尔,美,NULL
21,黄野,中,NULL
22,朱天心,中,NULL
23,尼尔·盖曼,英,NULL
24,蔡鳳儀（編）,中,NULL
25,卡勒德·胡赛尼,美,NULL
26,苏童,中,NULL
27,茨威格,中,NULL
28,胡月,中,NULL
29,尼卡,中,NULL
30,"Lawrence R. Spencer",中,NULL
31,王家新,中,NULL
32,鲁迅手稿全集编委会,中,NULL
33,曾国藩,中,NULL
34,陶方宣,中,NULL
35,埃勒里·奎因,中,NULL
36,王乾坤,中,NULL
37,寂地,中,NULL
38,茨威格,奥,NULL
39,村上春树,日,NULL
40,"朱碧莲，沈海波 译注",中,NULL
41,张爱玲原著,中,NULL
42,斯科特•维斯特菲尔德,美,NULL
43,玄色,中,NULL
44,井上雄彦,日,NULL
45,罗莎蒙德•勒普顿,英,NULL
46,刘恒,中,NULL
47,北岛,中,NULL
48,朱自清,中,NULL
49,康·帕乌斯托夫斯基,俄,NULL
50,杨荣,中,NULL
51,"Eileen Chang",中,NULL
52,鲜橙,中,NULL
53,黛西,中,NULL
54,天藤真,中,NULL
55,鲁迅,中,NULL
56,张承志,中,NULL
57,福田直,日,NULL
58,帕科·罗卡,西班牙,NULL
59,东野圭吾,日,NULL
60,宋宜昌,中,NULL
61,[宋]苏轼,中,NULL
62,杨莹骅,中,NULL
63,刘震云,中,NULL
64,"特倫斯．韓伯瑞．懷特 T. H. White",中,NULL
65,佚名,中,NULL
66,月裹鸿声,中,NULL
67,刘学锴,中,NULL
68,(美)琼·奥尔,中,NULL
69,(波兰)切斯瓦夫·米沃什,中,NULL
70,"Isaac Asimov",中,NULL
71,梦野久作,中,NULL
72,寐语者,中,NULL
73,张均,中,NULL
74,唐诺,中,NULL
75,冰波,中,NULL
76,余冠英,中,NULL
77,"江华 著",中,NULL
78,冯骥才,中,NULL
79,斯.茨威格[奥],中,NULL
80,张贤亮,中,NULL
81,钱锺书,中,NULL
82,吴海发,中,NULL
83,"[日] 秋乃茉莉",中,NULL
84,弗・福赛斯,中,NULL
85,"[日] 村上春树 文",中,NULL
86,"[美]布罗茨基 等",中,NULL
87,Pizza,中,NULL
88,宮部美幸,中,NULL
89,(美)布兰登·桑德森,中,NULL
90,郑渊洁,中,NULL
92,高木直子,中,NULL
93,张炜,中,NULL
94,"松 武",中,NULL
95,(明)醉西湖新月主人,中,NULL
96,海青拿天鹅,中,NULL
97,T·S艾略特,中,NULL
98,"Stefan Zweig",中,NULL
99,由·得林洛斯,中,NULL
100,村上春树美食书友会,中,NULL
101,程麻,中,NULL
102,陈丹青,中,NULL
103,孙维梓,中,NULL
104,李锐,中,NULL
105,"[罗] 安娜·布兰迪亚娜",中,NULL
106,"[日] 村上春树",中,NULL
107,李昌钰,中,NULL
108,莎朗·克里奇,中,NULL
109,（美）艾力克斯·欧文,中,NULL
110,郭敬明,中,NULL
111,魏可风,中,NULL
112,"[日] 高木直子",中,NULL
113,MTJJ,中,NULL
114,顾前,中,NULL
115,洪昇,中,NULL
116,(美)伊丽莎白·斯特劳特,中,NULL
117,金刚芭比,中,NULL
118,莉萨•巴兰泰尼,中,NULL
119,高尔基、罗曼罗兰、茨威格,中,NULL
120,林少华,中,NULL
121,朱朱,中,NULL
122,木村裕一/作,中,NULL
123,余华,中,NULL
124,林夕,中,NULL
125,米问问,中,NULL
126,任茹文,中,NULL
127,"山岸 凉子",中,NULL
128,［德］赛巴斯蒂安·菲茨克,中,NULL
129,(清)褚人获编撰,中,NULL
130,"[美] 詹姆斯·冈恩",中,NULL
131,"【法】斯黛芬妮•莱德 / 著",中,NULL
132,（日）铃木光司,中,NULL
133,"John Bauer",中,NULL
134,"钱理群 著",中,NULL
135,高中甫,中,NULL
136,"[英] 达夫妮·杜穆里埃",中,NULL
137,随侯珠,中,NULL
138,雷欧幻像,中,NULL
139,顾城,中,NULL
140,"[美] 罗斯·麦克唐纳",中,NULL
141,王一心,中,NULL
142,杨照,中,NULL
143,罗伯特·海因莱因,中,NULL
144,"(奥)埃尔温·莫泽尔 文/图",中,NULL
145,王小帅,中,NULL
146,南派三叔,中,NULL
147,独木舟,中,NULL
148,Priest,中,NULL
149,宗璞,中,NULL
150,惠特曼,中,NULL
151,"[清] 纳兰性德",中,NULL
152,夏达,中,NULL
153,村上春樹,中,NULL
154,陈福康,中,NULL
155,幾米,中,NULL
156,[德]瓦尔特·莫尔斯,中,NULL
157,(美)迈克尔·康奈利,中,NULL
158,杨树云,中,NULL
159,西岭雪,中,NULL
160,"Dan Brown",中,NULL
161,"村上 春樹",中,NULL
162,飞白,中,NULL
163,杰克.威廉森,中,NULL
164,墨舞碧歌,中,NULL
165,闫晓雨,中,NULL
166,张寒寺,中,NULL
167,雷蒙娜·巴蒂斯库,中,NULL
168,名人自传丛书,中,NULL
169,（奥地利）斯蒂芬・茨威格,中,NULL
170,叶嘉莹,中,NULL
171,許致文,中,NULL
172,詹锳,中,NULL
173,陈漱渝,中,NULL
174,"[法] 安德烈·高兹",中,NULL
175,旖旎萌妃,中,NULL
176,（英）阿加莎·克里斯蒂,中,NULL
177,"幸村 誠",中,NULL
178,周芬伶,中,NULL
179,（奥）茨威格,中,NULL
180,[英]C.S.刘易斯,中,NULL
181,Oran猪,中,NULL
182,赵珩,中,NULL
183,王彬彬,中,NULL
184,马伯庸,中,NULL
185,任茹文．王,中,NULL
186,村上春樹／著,中,NULL
187,呼延云,中,NULL
188,吴岩,中,NULL
189,(日)高木直子,中,NULL
190,刘永济选释,中,NULL
191,时晨,中,NULL
192,祈祷君,中,NULL
193,苏斯,中,NULL
194,斯蒂芬・茨威格,中,NULL
195,于青,中,NULL
196,福本伸行,中,NULL
197,王安忆,中,NULL
198,"[澳] 彼得·凯里",中,NULL
199,"[澳] 安东尼·布尔克",中,NULL
200,苏克军,中,NULL
201,（美）莎拉•谢菲尔得,中,NULL
202,[加拿大]罗伯特·索耶,中,NULL
203,张之路,中,NULL
204,"[美] 丹·布朗",中,NULL
205,陳志勇,中,NULL
206,徐皓峰,中,NULL
207,"Haruki Murakami",中,NULL
208,"上原 りょう",中,NULL
209,万燕,中,NULL
210,斯蒂芬.茨威格,中,NULL
211,"[日] 村上龙",中,NULL
212,施耐庵/罗贯中,中,NULL
213,十四郎,中,NULL
214,[日]陈舜臣,中,NULL
215,克里斯·费利,中,NULL
216,倪匡,中,NULL
217,周云龙,中,NULL
218,(美)罗伯特·罗素,中,NULL
219,周业娅,中,NULL
220,"[法] 维克多·谢阁兰",中,NULL
221,杨绛,中,NULL
222,六六,中,NULL
223,杜鲁门·卡波特,中,NULL
224,那多,中,NULL
225,"[波兰] 安德烈·斯帕克沃斯基",中,NULL
226,"鲁迅 著，中国作家榜  编",中,NULL
10001,萧振鸣,中,NULL
